Model,CPU,CPU specifications,GPU,Storage capacity,Removable storage,RAM,OS,Custom launcher,Dimensions,Weight in g,Battery,Recharge power,Display,Camera,Fingerprint sensor,Facial recognition
LG Q70,Snapdragon 675,Octa-core 2.0Â GHz (2x2.0Â GHz Kryo 460 Gold + 6x1.7Â GHz Kryo 460 Silver),AdreNaN 612,64 GB,microSD up to 1 TB,4 GB,Android 9.0,LG UX,162.1 x 76.8 x 8.3Â mm,198,4000 mAh,USB-C 15W,"6.4"" 2310x1080 IPS LCD",Triple 32 MP + 13 MP + 5 MP (rear camera) 16 MP (front camera),Rear-mounted,Yes
Sharp Aquos Zero,Snapdragon 845,Octa-core2.6Â GHz (4x2.6Â GHz Kryo 385 Gold + 4x1.7Â GHz Kryo 385 Silver),AdreNaN 630,128 GB,NaN,6 GB,Android 9.0,,154 x 73 x 8.8Â mm,146,3130 mAh,USB-C 18W,"6.2"" 2992x1440 OLED",22 MP (rear camera) 8 MP (front camera),Rear-mounted,Yes
Sony Xperia 1,Snapdragon 855,Octa-core2.8Â GHz (1x2.84Â GHz + 3x2.42Â GHz + 4x1.8Â GHz Kryo 485),AdreNaN 640,64 or 128 GB,microSD up to 1 TB,6 GB,Android 9.0,,167 x 72 x 8.2Â mm,178,3330 mAh,USB-C 18W,"6.5"" 3840x1644 OLED",Triple 12 MP (rear camera) 8 MP (front camera),Side-mounted,Yes
Sony Xperia 5,Snapdragon 855,Octa-core2.8Â GHz (1x2.84Â GHz + 3x2.42Â GHz + 4x1.8Â GHz Kryo 485),AdreNaN 640,128 GB,microSD up to 1 TB,6 GB,Android 9.0,,158 x 68 x 8.2Â mm,164,3140 mAh,USB-C 18W,"6.1"" 2520x1080 OLED",Triple 12 MP (rear camera) 8 MP (front camera),Side-mounted,Yes
Sony Xperia 10 Plus,Snapdragon 636,Octa-core1.8Â GHz Kryo 260,AdreNaN 509,64 GB,microSD up to 1 TB,4 GB 6 GB (China only),Android 9.0,,167 x 73 x 8.3Â mm,180,3000 mAh,USB-C 18W,"6.5"" 2520x1080 IPS LCD",Dual 12 MP + 8 MP (rear camera) 8 MP (front camera),Side-mounted,Yes
Sony Xperia 10,Snapdragon 630,Octa-core2.2Â GHz Cortex-A53,AdreNaN 509,64 GB,microSD up to 1 TB,3 GB 4 GB (China only),Android 9.0,,155.7 x 68 x 8.4Â mm,162,2870 mAh,USB-C 18W,"6.0"" 2520x1080 IPS LCD",Dual 13 MP + 5 MP (rear camera) 8 MP (front camera),Side-mounted,Yes
Sony Xperia L3,MediaTek Helio P22,Octa-core2.0Â GHz Cortex-A53,PowerVR GE8320,32 GB,microSD up to 1 TB,3 GB,Android 8.0,,154 x 72 x 8.9Â mm,156,3300 mAh,USB-C ?W,"5.7"" 1440x720 IPS LCD",Dual 13 MP + 2 MP (rear camera) 8 MP (front camera),Side-mounted,NaN
Xiaomi Black Shark 2,Snapdragon 855,Octa-core2.84Â GHz (1x2.84Â GHz + 3x2.41Â GHz + 4x1.78Â GHz Kryo 485),AdreNaN 640,128 or 256 GB,NaN,6/8/12 GB,Android 9.0,Blackshark UI,163.6 x 75 x 8.5Â mm,205,4000 mAh,USB-C 27W,"6.4"" 2340x1080 AMOLED",Dual 48 MP + 12 MP (rear camera) 20 MP (front camera),Under screen,Yes
Asus ROG Phone II,Snapdragon 855+,Octa-core2.96Â GHz (1x2.96Â GHz + 3x2.42Â GHz + 4x1.8Â GHz Kryo 485,AdreNaN 640,256 or 512Â GB,NaN,12Â GB,Android 9.0,ROG UI,171 x 77.6 x 9.5Â mm,240,6000 mAh,USB-C 30W,6.6â€ 2340x1080 120Â Hz AMOLED,Dual 48 MP + 13 MP (rear camera) 24 MP (front camera),Under screen,Yes
ZTE Axon 10 Pro,Snapdragon 855,Octa-core2.84Â GHz (1x2.84Â GHz + 3x2.41Â GHz + 4x1.78Â GHz Kryo 485),AdreNaN 640,128/256 GB,MicroSD up to 2 TB,6/8/12 GB,Android 9.0,MiFavor 9.1,159.2 x 73.4 x 7.9mm,175,4000 mAh,USB-C,6.47'' 2340x1080 AMOLED,Triple 48 MP + 20 MP + 8 MP (rear camera) 20 MP (front camera),Under screen,Yes
ZTE Axon 10 Pro 5G,Snapdragon 855,Octa-core2.84Â GHz (1x2.84Â GHz + 3x2.41Â GHz + 4x1.78Â GHz Kryo 485),AdreNaN 640,128/256 GB,MicroSD up to 2 TB,6/12 GB,Android 9.0,MiFavor 9.1,159.2 x 73.4 x 7.9mm,175,4000 mAh,USB-C,6.47'' 2340x1080 AMOLED,Triple 48 MP + 20 MP + 8 MP (rear camera) 20 MP (front camera),Under screen,Yes
ZTE Nubia Red Magic 3,Snapdragon 855,Octa-core2.84Â GHz (1x2.84Â GHz + 3x2.41Â GHz + 4x1.78Â GHz Kryo 485),AdreNaN 640,64/128/256 GB,NaN,6/8/12 GB,Android 9.0,Redmagic 2.0,171.7 x 78.5 x 9.7Â mm,215,5000 mAh,USB-C 27W,"6.7"" 2340x1080 90Â Hz AMOLED",48 MP (rear camera) 16 MP (front camera),Rear-mounted,Yes
ZTE Nubia Red Magic 3S,Snapdragon 855+,Octa-core2.96Â GHz (1x2.96Â GHz + 3x2.42Â GHz + 4x1.8Â GHz Kryo 485,AdreNaN 640,128 GB,NaN,8 GB,Android 9.0,Redmagic 2.0,171.7 x 78.5 x 9.7Â mm,215,5000 mAh,USB-C 27W,"6.7"" 2340x1080 90Â Hz AMOLED",48 MP (rear camera) 16 MP (front camera),Rear-mounted,Yes
ZTE Nubia Z20,Snapdragon 855+,Octa-core2.96Â GHz (1x2.96Â GHz + 3x2.42Â GHz + 4x1.8Â GHz Kryo 485),AdreNaN 640,128 or 512Â GB,NaN,6/8Â GB,Android 9.0,Nubia UI 7,158.6 x 75.2 x 9.2Â mm,186,4000 mAh,USB-C 27W,"6.4"" 2340x1080 AMOLED + 5.1"" 2340x1080 AMOLED",Triple 48 MP + 16 MP + 8 MP,Dual side-mounted,Yes
LeNaNvo Z6 Pro,Snapdragon 855,Octa-core2.84Â GHz (1x2.84Â GHz + 3x2.42Â GHz + 4x1.8Â GHz Kryo 485),AdreNaN 640,128/256/512 GB,microSD up to 512 GB,6/8/12 GB,Android 9.0,ZUI 11,157.5 x 74.6 x 8.7Â mm,185,4000 mAh,USB-C 18W,"6.4"" 2340x1080 AMOLED",Quad 48 MP + 16 MP + 8 MP + 2 MP + ToF (rear camera) 32 MP (front camera),Under-screen,Yes
LeNaNvo Z6,Snapdragon 730,Octa-core2.2Â GHz (2x2.2Â GHz Kryo 470 Gold + 6x1.8Â GHz Kryo 470 Silver),AdreNaN 618,64 or 128 GB,microSD up to 512 GB,6/8 GB,Android 9.0,ZUI 11,157 x 74.5 x 8Â mm,159,4000 mAh,USB-C 15W,"6.4"" 2340x1080 AMOLED",Triple 24 MP + 8 MP + 5 MP (rear camera) 16 MP (front camera),Under-screen,Yes
Google Pixel 3a,Snapdragon 670,Octa-core2Â GHz (2x2.0Â GHz Kryo 360 Gold + 6x1.7Â GHz Kryo 360 Silver),AdreNaN 615,64 GB,NaN,4 GB,Android 9.0,,151.3 x 70.1 x 8.2Â mm,147,3000 mAh,USB-C 18W,"5.6"" 2220x1080 OLED",12 MP (rear camera) 8 MP (front camera),Rear-mounted,Yes
Google Pixel 3a XL,Snapdragon 670,Octa-core2Â GHz (2x2.0Â GHz Kryo 360 Gold + 6x1.7Â GHz Kryo 360 Silver),AdreNaN 615,64 GB,NaN,4 GB,Android 9.0,,160.1 x 76.1 x 8.2Â mm,167,3700 mAh,USB-C 18W,"6.0"" 2160x1080 OLED",12 MP (rear camera) 8 MP (front camera),Rear-mounted,Yes
Google Pixel 4,Snapdragon 855,Octa-core2.84Â GHz (1x2.84Â GHz + 3x2.42Â GHz + 4x1.8Â GHz Kryo 485),AdreNaN 640,64 or 128 GB,NaN,6 GB,Android 10,,147.1 x 68.8 x 8.2Â mm,162,2800 mAh,USB-C 18W,"5.7"" 2280x1080 90Â Hz OLED",Dual 12 MP + 16 MP (rear camera) 8 MP (front camera),NaN,Yes IR
Google Pixel 4 XL,Snapdragon 855,Octa-core2.84Â GHz (1x2.84Â GHz + 3x2.42Â GHz + 4x1.8Â GHz Kryo 485),AdreNaN 640,64 or 128 GB,NaN,6 GB,Android 10,,160.4 x 75.1 x 8.2Â mm,193,3700 mAh,USB-C 18W,"6.3"" 3040x1440 90Â Hz OLED",Dual 12 MP + 16 MP (rear camera) 8 MP (front camera),NaN,Yes IR
OnePlus 7,Snapdragon 855,Octa-core2.84Â GHz (1x2.84Â GHz + 3x2.42Â GHz + 4x1.8Â GHz Kryo 485),AdreNaN 640,128 or 256Â GB,NaN,6/8Â GB,Android 9.0,OxygeNaNS 9.5.4,157.7 x 74.8 x 8.2Â mm,182,3700 mAh,USB-C 20W,"6.4"" 2340x1080 AMOLED",Dual 48 MP + 5 MP (rear) 16 MP (front),Under screen,Yes
OnePlus 7 Pro,Snapdragon 855,Octa-core2.84Â GHz (1x2.84Â GHz + 3x2.42Â GHz + 4x1.8Â GHz Kryo 485),AdreNaN 640,128 or 256Â GB,NaN,6/8/12Â GB,Android 9.0,OxygeNaNS 9.5.7,162.6 x 75.9 x 8.8Â mm,206,4000 mAh,USB-C 30W,"6.7"" 3120x1440 90Â Hz AMOLED",Triple 48 MP + 16 MP + 8 MP (rear) 16 MP (front),Under screen,Yes
OnePlus 7T,Snapdragon 855+,Octa-core2.96Â GHz (1x2.96Â GHz + 3x2.42Â GHz + 4x1.8Â GHz Kryo 485),AdreNaN 640,128 or 256Â GB,NaN,8Â GB,Android 10,Oxygen OS 10,160.9 x 74.4 x 8.1Â mm,190,3800 mAh,USB-C 30W,"6.6"" 2400x1080 90Â Hz AMOLED",Triple 48 MP + 16 MP + 12 MP (rear) 16 MP (front),Under screen,Yes
OnePlus 7T Pro,Snapdragon 855+,Octa-core2.96Â GHz (1x2.96Â GHz + 3x2.42Â GHz + 4x1.8Â GHz Kryo 485),AdreNaN 640,256Â GB,NaN,8Â GB12Â GB (McLaren Edition),Android 10,Oxygen OS 10,162.6 x 75.9 x 8.8Â mm,206,4085 mAh,USB-C 30W,"6.7"" 3120x1440 90Â Hz AMOLED",Triple 48 MP + 16 MP + 8 MP (rear) 16 MP (front),Under screen,Yes
Asus ZenFone 6,Snapdragon 855,Octa-core2.84Â GHz (1x2.84Â GHz + 3x2.42Â GHz + 4x1.8Â GHz Kryo 485),AdreNaN 640,64/128/256Â GB,microSD up to 1 TB,6/8Â GB,Android 9.0,ZenUI 6,159.1 x 75.4 x 9.2Â mm,190,5000 mAh,USB-C 18W,"6.4"" 2340x1080 IPS LCD",Dual 48 MP + 16 MP (rotating camera),Rear-mounted,Yes
Moto Z4,Snapdragon 675,Octa-core2.0Â GHz (2x 2.0Â GHz Kryo 460 Gold + 6x 1.7Â GHz Kryo 460 Silver),AdreNaN 612,128Â GB,microSD up to 1 TB,4Â GB,Android 9.0,,158 x 75 x 7.4Â mm,165,3600 mAh,USB-C 15W,"6.4"" 2340x1080 OLED",48 MP (rear) 25 MP (front),Under screen,Yes
Motorola One Vision,ExyNaNs 9609,Octa-core2.2Â GHz,Mali-G72 MP3,128Â GB,microSD up to 1 TB,4Â GB,Android 9.0,,160.1 x 71.2 x 8.7Â mm,180,3500 mAh,USB-C 15W,"6.3"" 2520x1080 LTPS IPS LCD",Dual 48 MP + 5 MP (rear) 25 MP (front),Rear-mounted,Yes
Motorola One Action,ExyNaNs 9609,Octa-core2.2Â GHz,Mali-G72 MP3,128Â GB,microSD up to 512 GB,4Â GB,Android 9.0,,160.1 x 71.2 x 8.7Â mm,176,3500 mAh,USB-C 10W,"6.3"" 2520x1080 LTPS IPS LCD",Triple 16 MP + 12 MP + 5 MP (rear) 12 MP (front),Rear-mounted,Yes
Motorola One Zoom,Snapdragon 675,Octa-core2.0Â GHz (2x 2.0Â GHz Kryo 460 Gold + 6x 1.7Â GHz Kryo 460 Silver),AdreNaN 612,128Â GB,microSD up to 1 TB,4Â GB,Android 9.0,,158 x 75 x 8.8Â mm,190,4000 mAh,USB-C 15W,"6.4"" 2340x1080 AMOLED",Quad 48 MP + 16 MP + 8 MP + 5 MP (rear) 25 MP (front),Under screen,Yes
Moto G7 Play,Snapdragon 632,Octa-core (4x 1.8 GHz Kryo 250 Gold + 4x 1.8 GHz Kryo 250 Silver),AdreNaN 506,32 GB,microSD up to 1 TB,2 GB,Android 9.0,,147.3 x 71.5 x 8 mm,149,3000 mAh,USB-C 10W,"5.7"" 1512x720 IPS LCD",13 MP (rear camera) 8 MP (front camera),Rear-mounted,Yes
Moto G7 Power,Snapdragon 632,Octa-core (4x 1.8 GHz Kryo 250 Gold + 4x 1.8 GHz Kryo 250 Silver),AdreNaN 506,32 or 64 GB,microSD up to 1 TB,3/4 GB,Android 9.0,,159.4 x 76 x 9.3 mm,193,5000 mAh,USB-C 15W,"6.2"" 1570x720 IPS LCD",12 MP (rear camera) 8 MP (front camera),Rear-mounted,Yes
Moto G7,Snapdragon 632,Octa-core (4x 1.8 GHz Kryo 250 Gold + 4x 1.8 GHz Kryo 250 Silver),AdreNaN 506,64 GB,microSD up to 1 TB,4 GB,Android 9.0,,157 x 75.3 x 8 mm,172,3000 mAh,USB-C 15W,"6.2"" 2270x1080 LTPS IPS LCD",Dual 12 MP + 5 MP (rear camera) 8 MP (front camera),Rear-mounted,Yes
Moto G7 Plus,Snapdragon 636,Octa-core (4x 1.8 GHz Kryo 260 Gold + 4x 1.6 GHz Kryo 260 Silver),AdreNaN 509,64 GB,microSD up to 1 TB,4 GB,Android 9.0,,157 x 75.3 x 8.3 mm,176,3000 mAh,USB-C 27W,"6.2"" 2270x1080 LTPS IPS LCD",Dual 16 MP + 5 MP (rear camera) 12 MP (front camera),Rear-mounted,Yes
Moto G8 Play,MediaTek Helio P70M,Octa-core (4x 2.1Â GHz Cortex-A73 + 4x 2.0Â GHz Cortex-A53),Mali-G72 MP3,32 GB,microSD up to 512 GB,3 GB,Android 9.0,,157.6 x 75.4 x 9Â mm,183,4000 mAh,microUSB 2.0,"6.2"" 1520x720 IPS LCD",Triple 13 MP + 8 MP + 2 MP (rear camera) 8 MP (front camera),Rear-mounted,Yes
Moto G8 Plus,Snapdragon 665,Octa-core (4x 2.0Â GHz Kryo 260 Gold + 4x 1.8Â GHz Kryo 260 Silver),AdreNaN 610,64 GB,microSD up to 512 GB,4 GB,Android 9.0,,158.4 x 75.8 x 9.1Â mm,188,4000 mAh,USB-C 18W,"6.3"" 2280x1080 LTPS IPS LCD",Triple 48 MP + 16 MP + 5 MP (rear camera) 25 MP (front camera),Rear-mounted,Yes
Vivo NEX 3,Snapdragon 855+,Octa-core2.96Â GHz (1x2.96Â GHz + 3x2.42Â GHz + 4x1.8Â GHz Kryo 485),AdreNaN 640,128 GB,NaN,8 GB,Android 9.0,Funtouch 9.1,167.4 x 76.1 x 9.4Â mm,217,4500 mAh,USB-C 44W,"6.9"" 2256x1080 AMOLED",Triple 64 MP + 2x 2 MP (rear camera) 16 MP (front camera),Under screen,Yes
Vivo NEX 3 5G,Snapdragon 855+,Octa-core2.96Â GHz (1x2.96Â GHz + 3x2.42Â GHz + 4x1.8Â GHz Kryo 485),AdreNaN 640,256 GB,NaN,8/12 GB,Android 9.0,Funtouch 9.1,167.4 x 76.1 x 9.4Â mm,219,4500 mAh,USB-C 44W,"6.9"" 2256x1080 AMOLED",Triple 64 MP + 2x 2 MP (rear camera) 16 MP (front camera),Under screen,Yes
Vivo S5,Snapdragon 712,Octa-core2x2.3 GHz Kryo 360 Gold +6x1.7 GHz Kryo 360 Silver,AdreNaN 616,128/256 GB,NaN,8 GB,Android 9.0,Funtouch 9,157.9 x 73.9 x 8.64 mm,188,4100 mAh,USB-C 22.5W,6.44''2400x1080 AMOLED,Quad 48 MP + 8 MP + 2 MP + 5 MP (rear) 32 MP (front),Under screen,Yes
Vivo iQOO,Snapdragon 855,Octa-core2.8Â GHz (1x 2.84Â GHz + 3x 2.41Â GHz + 4x 1.78Â GHz Kryo 485),AdreNaN 640,128 or 256 GB,NaN,6/8/12 GB,Android 9.0,Funtouch 9,157.7 x 75.2 x 8.5Â mm,196,4000 mAh,USB-C 22.5 or 44W MAX,"6.4"" 2340x1080 AMOLED",Triple 12 MP + 13 MP + 2 MP (rear camera) 12 MP (front camera),Under screen,Yes
Vivo iQOO Neo,Snapdragon 845,Octa-core CPU4x2.8Â GHz Kryo 385 Gold + 4x1.8Â GHz Kyro 385 Silver,AdreNaN 630,64 or 128 GB,NaN,6/8 GB,Android 9.0,Funtouch 9,159.5 x 75.2 x 8.1Â mm,199,4500 mAh,USB-C 22.5W MAX,"6.4"" 2340x1080 AMOLED",Triple 12 MP + 8 MP + 2 MP (rear camera) 12 MP (front camera),Under screen,Yes
Vivo iQOO Neo 855,Snapdragon 855,Octa-core2.8Â GHz (1x 2.84Â GHz + 3x 2.41Â GHz + 4x 1.78Â GHz Kryo 485),AdreNaN 640,64/128/256 GB,NaN,6/8 GB,Android 9.0,Funtouch 9,159.5 x 75.2 x 8.1Â mm,199,4500 mAh,USB-C 22.5W MAX,"6.4"" 2340x1080 AMOLED",Triple 12 MP + 8 MP + 2 MP (rear camera) 16 MP (front camera),Under screen,Yes
Vivo iQOO Neo 855 Speed Verson,Snapdragon 855+,Octa-core2.96Â GHz (1x2.96Â GHz + 3x2.42Â GHz + 4x1.8Â GHz Kryo 485),AdreNaN 640,128 GB,NaN,8/12 GB,Android 9.0,Funtouch 9,159.5 x 75.2 x 8.1Â mm,199,4500 mAh,USB-C 33W MAX,"6.4"" 2340x1080 AMOLED",Triple 12 MP + 8 MP + 2 MP (rear camera) 16 MP (front camera),Under screen,Yes
Vivo iQOO Pro,Snapdragon 855+,Octa-core2.8Â GHz (1x 2.84Â GHz + 3x 2.41Â GHz + 4x 1.78Â GHz Kryo 485),AdreNaN 640,128 GB,NaN,8/12 GB,Android 9.0,Funtouch 9.1,158.8 x 75.7 x 9.3Â mm,215,4500 mAh,USB-C 44W MAX,"6.4"" 2340x1080 AMOLED",Triple 48 MP + 13 MP + 2 MP (rear) 12 MP (front),Under screen,Yes
Vivo iQOO Pro 5G,Snapdragon 855+,Octa-core2.8Â GHz (1x 2.84Â GHz + 3x 2.41Â GHz + 4x 1.78Â GHz Kryo 485),AdreNaN 640,128/256 GB,NaN,8/12 GB,Android 9.0,Funtouch 9.1,158.8 x 75.7 x 9.3Â mm,217,4500 mAh,USB-C 44W MAX,"6.4"" 2340x1080 AMOLED",Triple 48 MP + 13 MP + 2 MP (rear) 12 MP (front),Under screen,Yes